"","Service Counter","Rooms","Online Devices","Online Devices %","Category","Content","Content Impression","Content Click","Content Impression Visitor","Content Click Visitor"
"17","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 刺激之选：全球最长悬空玻璃桥",6,0,5,0
"21","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 经典路线：赏山城夜景",6,0,5,0
"31","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 重庆特色：轻轨铁路",5,0,5,0
"16","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 美食指南：重庆三大美食街",4,0,2,0
"14","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 必买伴手礼：重庆特产小吃",3,0,2,0
"22","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 小众重庆：在闹市中寻一静地",3,0,3,0
"25","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 重庆踏青：全年赏花时间表",3,0,3,0
"33","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 重庆特产︰荣昌折扇和荣昌陶器",3,0,3,0
"35","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 重庆人气购物点：北城天街购物商场",3,0,2,0
"19","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 火锅百科：防空洞里的「洞子火锅」",2,0,1,0
"1","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 伴手礼采买攻略：人气大型超市",1,0,1,0
"5","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 火锅百科：不可错过的菜品",1,0,1,0
"7","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 火锅百科：重庆冰火锅",1,0,1,0
"15","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 美食指南：你不知道的在地必吃美食",1,0,1,0
"18","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 小众重庆：3家特色文艺书店",1,0,1,0
"26","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 美食指南：重庆夜宵大全",1,0,1,0
"27","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 美食指南：不可错过的街头小吃",1,0,1,0
"28","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 重庆三大购物商圈",1,0,1,0
"3","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Lockscreens","VIP Shop Sept",1508,210,385,162
"64","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Advertising Banners","HS_1",2141,19,350,16
"65","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Advertising Banners","HS_2",1956,5,350,3
"49","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou - 不同时期的「西湖十景」",166,3,38,2
"52","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou – 3个必到杭州历史景点",41,1,13,1
"53","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou - 杭州小吃街",39,0,20,0
"42","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou - 景点推荐：夜游杭州",31,0,10,0
"62","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou - 特色工艺：关于杭州刺绣",29,1,14,1
"45","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou-3大必去古塔",12,0,8,0
"58","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou - 亲子好去处－杭州花圃",12,0,2,0
"61","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou - 私家园林推荐：杭州郭庄",11,1,4,1
"43","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou - 杭州当地节日盘点",9,3,4,1
"60","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou - 人文杭州：胡雪岩故居",9,0,5,0
"59","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou - 人文杭州：爱情之都",6,0,5,0
"48","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou - 必游景点：龙门古镇",5,0,2,0
"54","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou - 杭州夜市风情",4,0,3,0
"56","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou - 景点推介：杭州宋城",4,0,4,0
"46","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou - Top3小资餐厅",2,0,1,0
"51","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou -文艺小众好去处",2,0,1,0
"57","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou - 景点推介：河坊历史文化特色街区",2,1,1,1
"63","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou - 西湖周边景观餐厅",2,0,1,0
"67","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou – 美食指南：3款必尝街头小吃",2,0,1,0
"39","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","hangzhou - 杭州必吃糕点",1,0,1,0
"47","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou - 必看演出：印象西湖",1,0,1,0
"50","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou - 工艺精品：西湖绸伞",1,1,1,1
"55","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou – 美食指南：杭州传统名菜",1,0,1,0
"66","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Articles","Hangzhou – 伴手礼推荐",1,0,1,0
"40","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Lockscreens","New Century Generic",183,66,94,30
"44","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Lockscreens","CHN - HD 3",170,47,110,44
"38","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Lockscreens","CHN - HD 4",151,49,108,43
"37","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Lockscreens","CHN - HD 1",146,46,81,28
"41","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Lockscreens","CHN - HD 2",127,35,88,32
"36","CHN - New Century Grand Hotel Hangzhou",699,124,0.177396280400572,"Lockscreens","VIP Shop Sept",108,28,77,25
"103","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Advertising Banners","HS_1",4676,26,646,22
"96","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Advertising Banners","HS_2",4030,5,645,4
"106","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou – 3个必到杭州历史景点",129,0,54,0
"70","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 不同时期的「西湖十景」",116,0,80,0
"86","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou - 杭州小吃街",74,0,52,0
"88","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou - 景点推荐：夜游杭州",42,0,21,0
"83","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 特色工艺：关于杭州刺绣",38,0,33,0
"87","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou-3大必去古塔",17,0,16,0
"93","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou - 人文杭州：爱情之都",14,0,10,0
"95","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou - 私家园林推荐：杭州郭庄",14,1,12,1
"81","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou - 人文杭州：胡雪岩故居",12,0,12,0
"78","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 必游景点：湖中区「三岛」",10,0,4,0
"94","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou - 杭州当地节日盘点",10,0,9,0
"104","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou - 亲子好去处－杭州花圃",10,0,8,0
"102","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou – 西湖之外：杭州深度游",9,0,7,0
"92","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 必游景点：湖中区「三堤」",7,0,4,0
"100","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 杭州夜市风情",6,0,6,0
"82","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 必游景点：西溪国家湿地公园",5,0,4,0
"98","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 景点推介：杭州宋城",5,0,5,0
"77","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 必看演出：印象西湖",4,0,4,0
"80","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 必游景点：龙门古镇",4,0,3,0
"89","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou - Top3小资餐厅",4,0,4,0
"105","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 新西湖十景：吴山天风",4,0,4,0
"68","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 必游景点：千岛湖风景区",3,0,3,0
"75","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 3个必去特色博物馆",3,0,3,0
"90","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 景点推介：河坊历史文化特色街区",3,0,3,0
"91","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 骑单车游西湖",3,0,2,0
"101","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou – 美食指南：3款必尝街头小吃",3,0,2,0
"107","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou – 美食指南：杭州传统名菜",3,0,2,0
"73","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","CHN - Beijing - 玩乐推荐：京城特色文化街",2,0,1,0
"85","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","CHN - Beijing - 美食推荐：京城老字号",2,0,1,0
"99","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou -文艺小众好去处",2,0,2,0
"84","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","hangzhou - 杭州必吃糕点",1,0,1,0
"97","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Articles","Hangzhou - 西湖周边景观餐厅",1,0,1,0
"74","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Lockscreens","CHN - HD 4",262,80,202,76
"72","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Lockscreens","CHN - HD 3",218,60,167,56
"71","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Lockscreens","CHN - HD 2",204,52,145,50
"76","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Lockscreens","New Century Generic",193,51,145,45
"79","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Lockscreens","VIP Shop Sept",171,40,127,39
"69","CHN - Sanli New Century Grand Hotel Zhejiang",418,201,0.480861244019139,"Lockscreens","CHN - HD 1",166,42,135,42
